id,cluster_id
FKID001279,15
FKID001280,21
FKID001281,15
FKID001282,15
FKID001283,-1
FKID001284,15
FKID001285,15
FKID001286,15
FKID001287,15
FKID001288,15
FKID001289,15
FKID001290,14
FKID001291,15
FKID001292,15
FKID001293,12
FKID001294,110
FKID001295,12
FKID001296,-1
FKID001297,12
FKID001298,12
FKID001299,110
FKID001300,12
FKID001301,12
FKID001302,0
FKID001303,12
FKID001304,-1
FKID001305,21
FKID001306,-1
FKID001307,12
FKID001308,-1
FKID001309,21
FKID001310,21
FKID001311,125
FKID001312,52
FKID001313,21
FKID001314,52
FKID001315,21
FKID001316,110
FKID001317,52
FKID001318,4
FKID001319,52
FKID001320,-1
FKID001321,-1
FKID001322,7
FKID001323,7
FKID001324,7
FKID001325,4
FKID001326,7
FKID001327,4
FKID001328,7
FKID001329,7
FKID001330,7
FKID001331,4
FKID001332,7
FKID001333,-1
FKID001334,4
FKID001335,7
FKID001336,22
FKID001337,22
FKID001338,4
FKID001339,12
FKID001340,22
FKID001341,21
FKID001342,12
FKID001343,-1
FKID001344,21
FKID001345,-1
FKID001346,12
FKID001347,-1
FKID001348,12
FKID001349,12
FKID001350,12
FKID001351,12
FKID001352,12
FKID001353,12
FKID001354,21
FKID001355,21
FKID001356,21
FKID001357,60
FKID001358,-1
FKID001359,24
FKID001360,12
FKID001361,12
FKID001362,21
FKID001363,56
FKID001364,12
FKID001365,56
FKID001366,56
FKID001367,56
FKID001368,-1
FKID001369,56
FKID001370,-1
FKID001371,24
FKID001372,24
FKID001373,-1
FKID001374,-1
FKID001375,49
FKID001376,24
FKID001377,-1
FKID001378,-1
FKID001379,12
FKID001380,12
FKID001381,141
FKID001382,24
FKID001383,21
FKID001384,19
FKID001385,69
FKID001386,-1
FKID001387,19
FKID001388,78
FKID001389,-1
FKID001390,-1
FKID001391,-1
FKID001392,-1
FKID001393,12
FKID001394,78
FKID001395,12
FKID001396,12
FKID001397,34
FKID001398,5
FKID001399,38
FKID001400,-1
FKID001401,12
FKID001402,38
FKID001403,84
FKID001404,12
FKID001405,-1
FKID001406,-1
FKID001407,107
FKID001408,15
FKID001409,84
FKID001410,12
FKID001411,15
FKID001412,-1
FKID001413,12
FKID001414,10
FKID001415,78
FKID001416,10
FKID001417,35
FKID001418,-1
FKID001419,-1
FKID001420,21
FKID001421,21
FKID001422,115
FKID001423,21
FKID001424,21
FKID001425,12
FKID001426,78
FKID001427,-1
FKID001428,21
FKID001429,21
FKID001430,115
FKID001431,52
FKID001432,21
FKID001433,115
FKID001434,132
FKID001435,115
FKID001436,115
FKID001437,52
FKID001438,0
FKID001439,21
FKID001440,12
FKID001441,21
FKID001442,21
FKID001443,21
FKID001444,-1
FKID001445,12
FKID001446,115
FKID001447,12
FKID001448,115
FKID001449,21
FKID001450,-1
FKID001451,12
FKID001452,12
FKID001453,0
FKID001454,-1
FKID001455,21
FKID001456,21
FKID001457,21
FKID001458,21
FKID001459,115
FKID001460,12
FKID001461,21
FKID001462,115
FKID001463,21
FKID001464,0
FKID001465,21
FKID001466,21
FKID001467,21
FKID001468,78
FKID001469,12
FKID001470,21
FKID001471,107
FKID001472,21
FKID001473,21
FKID001474,-1
FKID001475,5
FKID001476,107
FKID001477,115
FKID001478,30
FKID001479,21
FKID001480,21
FKID001481,26
FKID001482,21
FKID001483,0
FKID001484,12
FKID001485,127
FKID001486,12
FKID001487,-1
FKID001488,115
FKID001489,115
FKID001490,115
FKID001491,21
FKID001492,21
FKID001493,12
